,LOC,GEO,ID,id,Sp,SpNr,X,Y,Stems,DBH,height,MeanSal,SE.sal,mean.pH,mean.T
176,3,IB,103,103,A,1,16.9,9.8,1,3,3.5,41.601,1.26882418,6.901,25.53
177,3,IB,104,104,R,3,16.3,10.9,1,6.9,7,41.601,1.26882418,6.901,25.53
178,3,IB,105,105,A,1,11.2,10.2,4,36,NA,41.601,1.26882418,6.901,25.53
179,3,IB,106,106,A,1,11.5,11.8,1,45.5,16.1,41.601,1.26882418,6.901,25.53
180,3,IB,107,107,R,3,11.1,12.6,1,12,13.9,41.601,1.26882418,6.901,25.53
181,3,IB,109,109,A,1,11.7,17.1,1,49,23.2,41.601,1.26882418,6.901,25.53
182,3,IB,110,110,A,1,15.6,16.9,1,2,4.1,41.601,1.26882418,6.901,25.53
183,3,IB,111,111,A,1,13.4,19.6,1,62.3,16,41.601,1.26882418,6.901,25.53
184,3,IB,113,113,R,3,3.3,7.5,1,8.5,11.4,41.601,1.26882418,6.901,25.53
185,3,IB,36B,114,R,3,2.3,4,1,5,8.6,41.601,1.26882418,6.901,25.53
186,8,MF,1,1,A,1,3.3,1.41,1,32.5,18.3,58.624,1.062791042,6.745,27.03
187,8,MF,2,2,A,1,3.95,6.1,1,38.7,23.4,58.624,1.062791042,6.745,27.03
188,8,MF,3,3,A,1,1.9,6.6,1,33.2,18.8,58.624,1.062791042,6.745,27.03
189,8,MF,4,4,A,1,1.3,10.96,2,71.4,18.2,58.624,1.062791042,6.745,27.03
190,8,MF,5,5,A,1,2,18.02,1,26.2,13.3,58.624,1.062791042,6.745,27.03
191,8,MF,6,6,A,1,2.2,24.37,1,22,11.6,58.624,1.062791042,6.745,27.03
192,8,MF,8,8,A,1,11.05,29.49,1,1.2,1.5,58.624,1.062791042,6.745,27.03
193,8,MF,9,9,A,1,13.2,27.02,2,41,11.9,58.624,1.062791042,6.745,27.03
194,8,MF,10,10,A,1,21.3,29.34,1,1.8,3.4,58.624,1.062791042,6.745,27.03
195,8,MF,11,11,A,1,28.6,27.58,1,27.7,19.9,58.624,1.062791042,6.745,27.03
196,8,MF,12,12,A,1,27.35,22.33,2,22,5.9,58.624,1.062791042,6.745,27.03
197,8,MF,13,13,A,1,26.95,20.56,1,25.5,11.2,58.624,1.062791042,6.745,27.03
198,8,MF,14,14,A,1,28.8,20.02,2,28.4,9,58.624,1.062791042,6.745,27.03
199,8,MF,15,15,A,1,27.95,19.05,1,32.3,21.7,58.624,1.062791042,6.745,27.03
200,8,MF,16,16,A,1,29.2,15.43,1,30,15.4,58.624,1.062791042,6.745,27.03
201,8,MF,17,17,A,1,28.75,7.4,2,47,16.4,58.624,1.062791042,6.745,27.03
202,8,MF,18,18,A,1,25.05,0.69,1,28.2,10.5,58.624,1.062791042,6.745,27.03
203,8,MF,19,19,A,1,19.9,0.73,1,30,16.4,58.624,1.062791042,6.745,27.03
204,8,MF,20,20,A,1,19.55,2.14,1,17.7,9.6,58.624,1.062791042,6.745,27.03
205,8,MF,21,21,A,1,17.4,2.53,1,14.7,8.1,58.624,1.062791042,6.745,27.03
206,8,MF,22,22,A,1,14.55,0.69,1,29,15.3,58.624,1.062791042,6.745,27.03
207,8,MF,23,23,A,1,5.5,5.99,1,30.3,12,58.624,1.062791042,6.745,27.03
208,8,MF,24,24,A,1,6.55,5.69,1,18.4,7.6,58.624,1.062791042,6.745,27.03
209,8,MF,25,25,A,1,12.1,22.56,1,20.5,11,58.624,1.062791042,6.745,27.03
210,8,MF,26,26,A,1,14.3,24.6,1,46.6,21.4,58.624,1.062791042,6.745,27.03
211,8,MF,27,27,A,1,16,24.95,1,18.3,14.8,58.624,1.062791042,6.745,27.03
212,8,MF,28,28,A,1,17.15,26.67,1,13.6,7.1,58.624,1.062791042,6.745,27.03
213,8,MF,29,29,A,1,18.25,26.17,1,13.7,8.8,58.624,1.062791042,6.745,27.03
214,8,MF,30,30,A,1,23.6,21.71,1,21.4,13.8,58.624,1.062791042,6.745,27.03
215,8,MF,31,31,A,1,24.35,20.37,2,58.1,19.1,58.624,1.062791042,6.745,27.03
216,8,MF,32,32,A,1,24.1,17.61,1,14.2,4.7,58.624,1.062791042,6.745,27.03
217,8,MF,33,33,A,1,19.95,11.49,1,11,3.1,58.624,1.062791042,6.745,27.03
218,8,MF,34,34,A,1,22.65,5.08,1,17.1,10.7,58.624,1.062791042,6.745,27.03
219,8,MF,35,35,A,1,20,3.94,1,29.6,15.8,58.624,1.062791042,6.745,27.03
220,8,MF,36,36,A,1,12.9,12.09,2,44.7,11.2,58.624,1.062791042,6.745,27.03
221,8,MF,37,37,A,1,12.45,15.85,1,26.9,9.9,58.624,1.062791042,6.745,27.03
222,8,MF,38,38,A,1,14.9,18.3,1,24,13.9,58.624,1.062791042,6.745,27.03
223,8,MF,39,39,A,1,18.6,22.98,3,61.1,14.6,58.624,1.062791042,6.745,27.03
224,8,MF,40,40,A,1,17.5,18.05,1,9.4,6,58.624,1.062791042,6.745,27.03
225,8,MF,41,41,A,1,18.75,12.83,1,30,11.1,58.624,1.062791042,6.745,27.03
226,8,MF,42,42,A,1,19.1,8.38,1,22.3,10.8,58.624,1.062791042,6.745,27.03
227,8,MF,43,43,A,1,19.5,7.14,1,15.7,7.8,58.624,1.062791042,6.745,27.03
228,8,MF,44,44,A,1,24.5,16.99,1,16.6,10.2,58.624,1.062791042,6.745,27.03
229,9,MF,1,1,A,1,2.2,7.56,1,22,14.5,45.065,2.411017627,7.069,24.9
230,9,MF,2,2,A,1,1.75,8.55,1,15.35,8.3,45.065,2.411017627,7.069,24.9
